Date,Open,High,Low,Close,Adj Close,Volume
2018-04-09,33653.609375,34313.140625,33578.910156,34192.648438,34192.648438,75200
2018-04-16,33944.730469,34591.808594,33899.339844,34415.578125,34415.578125,43500
2018-04-23,34493.691406,35065.371094,34259.269531,34969.699219,34969.699219,51900
2018-04-30,35021.199219,35357.148438,34847.609375,34915.378906,34915.378906,31100
2018-05-07,34983.589844,35596.148438,34977.738281,35535.789063,35535.789063,53500
2018-05-14,35555.828125,35993.531250,34821.621094,34848.300781,34848.300781,52400
2018-05-21,34873.160156,35017.929688,34302.890625,34924.871094,34924.871094,55900
2018-05-28,35074.320313,35438.218750,34735.109375,35227.261719,35227.261719,65300
2018-06-04,35503.238281,35628.488281,34784.679688,35443.671875,35443.671875,66500
2018-06-11,35472.589844,35877.410156,35419.679688,35622.140625,35622.140625,52900
2018-06-18,35698.429688,35741.261719,35249.058594,35689.601563,35689.601563,104300
2018-06-25,35783.750000,35806.968750,34937.148438,35423.480469,35423.480469,85400
2018-07-02,35545.218750,35799.710938,35106.570313,35657.859375,35657.859375,68300
2018-07-09,35835.101563,36740.070313,35779.718750,36541.628906,36541.628906,50800
2018-07-16,36658.710938,36747.871094,36261.781250,36496.371094,36496.371094,62900
2018-07-23,36501.050781,37368.621094,36491.828125,37336.851563,37336.851563,63200
2018-07-30,37491.390625,37711.871094,37128.988281,37556.160156,37556.160156,73700
2018-08-06,37714.699219,38076.230469,37586.878906,37869.230469,37869.230469,68600
2018-08-13,37693.191406,38022.320313,37559.261719,37947.878906,37947.878906,45700
2018-08-20,38075.070313,38487.628906,38050.691406,38251.800781,38251.800781,42500
2018-08-27,38472.031250,38989.648438,38416.730469,38645.070313,38645.070313,60900
2018-09-03,38915.910156,38934.351563,37774.421875,38389.820313,38389.820313,67600
2018-09-10,38348.390625,38354.519531,37342.000000,38090.640625,38090.640625,58200
2018-09-17,38027.808594,38027.808594,35993.640625,36841.601563,36841.601563,73800
2018-09-24,36924.718750,36945.500000,35985.628906,36227.140625,36227.140625,106200
2018-10-01,36274.250000,36616.640625,34202.218750,34376.988281,34376.988281,89800
2018-10-08,34412.359375,34858.351563,33723.531250,34733.578125,34733.578125,137100
2018-10-15,34971.828125,35605.429688,34140.320313,34315.628906,34315.628906,57200
2018-10-22,34689.390625,34748.691406,33291.578125,33349.308594,33349.308594,87400
2018-10-29,33549.878906,35190.199219,33341.800781,35011.648438,35011.648438,130800
2018-11-05,35118.621094,35302.250000,34811.601563,35158.550781,35158.550781,58000
2018-11-12,35287.488281,35545.851563,34672.199219,35457.160156,35457.160156,92100
2018-11-19,35647.621094,35818.828125,34937.980469,34981.019531,34981.019531,59000
2018-11-26,35118.089844,36389.218750,34896.070313,36194.300781,36194.300781,129600
2018-12-03,36396.691406,36446.160156,35266.761719,35673.250000,35673.250000,111000
2018-12-10,35204.660156,36095.558594,34426.289063,35962.929688,35962.929688,104000
2018-12-17,36129.128906,36554.988281,35694.738281,35742.070313,35742.070313,76235200
